Wave	Shawn LED
410.57	1142.18
410.93	1167.93
411.29	1174.95
411.65	1139.84
412.01	1144.52
412.37	1067.28
412.73	1090.69
413.09	1142.18
413.45	1167.93
413.81	1057.92
414.17	1135.16
414.53	1146.86
414.89	1071.97
415.25	1114.10
415.61	1062.60
415.97	1144.52
416.33	1130.48
416.69	1128.14
417.05	1043.88
417.41	1111.75
417.77	1151.54
418.13	1156.22
418.49	1083.67
418.85	1156.22
419.21	1100.05
419.57	1184.31
419.92	1179.63
420.28	1144.52
420.64	1170.27
421.00	1170.27
421.36	1172.61
421.72	1109.41
422.08	1240.48
422.44	1142.18
422.80	1165.59
423.16	1184.31
423.52	1114.10
423.88	1142.18
424.24	1135.16
424.59	1158.57
424.95	1186.65
425.31	1125.80
425.67	1130.48
426.03	1170.27
426.39	1235.80
426.75	1184.31
427.11	1193.67
427.47	1125.80
427.82	1207.72
428.18	1212.40
428.54	1167.93
428.90	1151.54
429.26	1142.18
429.62	1186.65
429.98	1181.97
430.33	1179.63
430.69	1205.38
431.05	1174.95
431.41	1137.50
431.77	1200.69
432.13	1177.29
432.48	1188.99
432.84	1212.40
433.20	1205.38
433.56	1308.36
433.92	1390.28
434.27	1724.97
434.63	2401.39
434.99	2841.41
435.35	2874.18
435.71	2588.63
436.06	2010.52
436.42	1863.07
436.78	1586.88
437.14	1519.01
437.50	1418.36
437.85	1364.53
438.21	1362.19
438.57	1322.40
438.93	1366.87
439.28	1343.47
439.64	1376.24
440.00	1338.79
440.36	1469.86
440.71	1413.68
441.07	1502.62
441.43	1455.81
441.78	1516.67
442.14	1572.84
442.50	1495.60
442.86	1636.03
443.21	1624.33
443.57	1699.23
443.93	1659.44
444.28	1685.19
444.64	1717.95
445.00	1783.49
445.35	1825.62
445.71	1858.39
446.07	1874.77
446.43	1982.43
446.78	2043.29
447.14	2059.67
447.50	2017.54
447.85	2270.32
448.21	2188.40
448.57	2314.79
448.92	2216.49
449.28	2434.16
449.63	2537.14
449.99	2654.17
450.35	2715.02
450.70	2822.69
451.06	2874.18
451.42	2937.37
451.77	2920.99
452.13	3152.70
452.48	3272.07
452.84	3396.12
453.20	3480.38
453.55	3623.15
453.91	3723.79
454.26	4053.81
454.62	4016.36
454.98	4276.16
455.33	4479.79
455.69	4554.68
456.04	4739.58
456.40	4954.91
456.75	5158.54
457.11	5458.13
457.47	5542.39
457.82	5959.00
458.18	6150.93
458.53	6389.66
458.89	6710.32
459.24	7068.42
459.60	7307.15
459.95	7552.91
460.31	8067.83
460.66	8283.16
461.02	8755.94
461.37	9334.06
461.73	9652.37
462.08	10232.82
462.44	10551.14
462.79	11316.49
463.15	11803.32
463.50	12250.36
463.86	13235.73
464.21	13678.09
464.57	14665.80
464.92	15351.57
465.28	16065.44
465.63	16540.57
465.99	18237.45
466.34	18883.44
466.70	19377.30
467.05	20973.54
467.41	21287.17
467.76	22930.23
468.12	24070.07
468.47	25106.93
468.82	26412.95
469.18	27290.65
469.53	28905.62
469.89	29926.09
470.24	31756.39
470.60	33127.94
470.95	34155.44
471.30	35660.40
471.66	37167.71
472.01	38621.18
472.37	39744.64
472.72	41528.13
473.07	42590.73
473.43	43580.78
473.78	44559.12
474.13	46153.02
474.49	46848.16
474.84	48102.69
475.20	49284.66
475.55	50145.98
475.90	50506.42
476.26	51330.29
476.61	52336.72
476.96	52711.20
477.32	53446.13
477.67	53612.31
